time/iterations,time/total_timesteps,time/time_elapsed,train/mean_reward,time/fps,train/reward,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/entropy_loss
4,223232,56,0.119369276,145,-10.83388,0.157177734375,41.4788818359375,0.01635914,0.03712242841720581,1080,0.0001,-0.014493460624362343,1.0801818370819092,76.20642136335373,0.2,-43.35737402439118
5,225280,70,0.119326964,144,-3.923975,0.142724609375,11.841090202331543,0.01612689,0.058956801891326904,1090,0.0001,-0.017050824224133974,1.0815554857254028,32.16653932332993,0.2,-43.39884784221649
6,227328,86,0.11941309,141,0.677844,0.13916015625,60.28416061401367,0.015403475,0.04073363542556763,1100,0.0001,-0.013822103971324395,1.0817822217941284,110.04094887971878,0.2,-43.41823744773865
7,229376,105,0.119918466,136,0.11155957,0.143603515625,32.331634521484375,0.016921304,0.08558309078216553,1110,0.0001,-0.010175826121121645,1.0820223093032837,53.105874156951906,0.2,-43.421341848373416
8,231424,122,0.12004608,133,-0.37199616,0.204931640625,38.14283752441406,0.022458822,0.0018409490585327148,1120,0.0001,-0.012310473009711132,1.083267092704773,90.27282054424286,0.2,-43.44491205215454
9,233472,137,0.12060804,134,-3.233344,0.1423828125,7.455298900604248,0.014613165,0.28742969036102295,1130,0.0001,-0.01091127906984184,1.083754539489746,16.217380905151366,0.2,-43.46770131587982
10,235520,152,0.12094047,134,0.69041526,0.118408203125,48.23488998413086,0.01243386,0.11818957328796387,1140,0.0001,-0.01594596048234962,1.0850063562393188,113.13998501300811,0.2,-43.48979277610779
11,237568,167,0.121197306,134,2.6226711,0.15400390625,29.583778381347656,0.02082876,0.10661286115646362,1150,0.0001,-0.01052372463309439,1.0860826969146729,73.11513422727585,0.2,-43.52260439395904
12,239616,182,0.121249415,134,-0.60042703,0.150634765625,7.8716044425964355,0.018290952,0.1626022458076477,1160,0.0001,-0.01434631883748807,1.0873111486434937,20.55475220680237,0.2,-43.55142455101013
13,241664,197,0.12168866,134,-1.6931779,0.0974609375,17.651948928833008,0.010624986,0.09584438800811768,1170,0.0001,-0.01458784357237164,1.0877026319503784,64.07094238996505,0.2,-43.572667026519774
